# SDTrimSP: VERSION 7.01    03.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
          48        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  2.76000E+02  1.00000E+00  1.88400E+03  5.81456E-04  1.33295E-04  1.21772E-04  4.59684E-04  6.60000E+01  7.17886E+00
  2.84000E+02  3.00000E+00  1.19000E+03  3.14889E-04  9.19956E-05  1.90572E-04  1.24317E-04  7.80000E+01  1.00000E+00
  2.92000E+02  1.00000E+00  6.55000E+02  2.89280E-05  1.45690E-05  2.89280E-05  0.00000E+00  1.80000E+01  0.00000E+00
  3.00000E+02  0.00000E+00  3.52000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.08000E+02  0.00000E+00  1.67000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.16000E+02  0.00000E+00  7.60000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.24000E+02  0.00000E+00  4.00000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.32000E+02  0.00000E+00  1.30000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.40000E+02  0.00000E+00  9.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.48000E+02  0.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.56000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.64000E+02  0.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.72000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  3.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  4.43339E+05  4.43339E+05  1.31032E+03  6.38749E+02  1.19551E+02  1.19077E+03  1.03428E+08  1.48649E+07
  

# CPT.  AVERAGE DEPTH    STAND.DEV.       SKEWNESS      KURTOSIS       E    
   1     0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    Rp 
   2     7.73475E+01    4.27739E+01    4.97892E-01    2.82281E+00    0.00000E+00    Rp 
