# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  2.76000E+02  2.00300E+03  2.27600E+03  1.40161E+00  1.49934E+00  4.57510E-01  9.44099E-01  3.60141E+05  1.31432E+04
  2.84000E+02  1.84500E+03  2.25000E+03  1.27862E+00  1.37020E+00  4.26984E-01  8.51635E-01  3.33283E+05  1.18126E+04
  2.92000E+02  1.72200E+03  2.23200E+03  1.14287E+00  1.21825E+00  3.97637E-01  7.45230E-01  3.07715E+05  1.03833E+04
  3.00000E+02  1.63500E+03  2.06100E+03  1.02976E+00  1.10859E+00  3.70414E-01  6.59347E-01  2.84740E+05  9.30664E+03
  3.08000E+02  1.52500E+03  2.01500E+03  8.97729E-01  9.82273E-01  3.41130E-01  5.56599E-01  2.61588E+05  7.89088E+03
  3.16000E+02  1.49600E+03  2.01900E+03  8.32218E-01  8.85630E-01  3.21648E-01  5.10570E-01  2.41849E+05  7.22513E+03
  3.24000E+02  1.37300E+03  1.86500E+03  6.93418E-01  7.75868E-01  2.90003E-01  4.03415E-01  2.19490E+05  5.75764E+03
  3.32000E+02  1.24700E+03  1.75400E+03  6.06234E-01  6.92824E-01  2.68835E-01  3.37400E-01  2.01441E+05  4.89552E+03
  3.40000E+02  1.15200E+03  1.73700E+03  5.25419E-01  6.07478E-01  2.45347E-01  2.80072E-01  1.83569E+05  4.08379E+03
  3.48000E+02  1.15800E+03  1.70300E+03  4.59129E-01  5.37640E-01  2.33671E-01  2.25458E-01  1.68945E+05  3.32766E+03
  3.56000E+02  1.05300E+03  1.63800E+03  3.77185E-01  4.65223E-01  2.14692E-01  1.62493E-01  1.53087E+05  2.43782E+03
  3.64000E+02  1.05400E+03  1.54900E+03  3.25602E-01  4.05720E-01  2.00023E-01  1.25579E-01  1.39272E+05  1.90330E+03
  3.72000E+02  1.00600E+03  1.53200E+03  2.73216E-01  3.49417E-01  1.85984E-01  8.72322E-02  1.25363E+05  1.36728E+03
  3.80000E+02  9.98000E+02  1.32900E+03  2.41993E-01  3.01358E-01  1.78018E-01  6.39749E-02  1.13934E+05  1.01407E+03
  3.88000E+02  1.04300E+03  1.39800E+03  2.09658E-01  2.53214E-01  1.67730E-01  4.19283E-02  1.02097E+05  6.63844E+02
  3.96000E+02  1.12100E+03  1.40000E+03  1.90332E-01  2.11768E-01  1.62122E-01  2.82105E-02  9.07750E+04  4.64926E+02
  4.04000E+02  1.19800E+03  1.30300E+03  1.70691E-01  1.71219E-01  1.51883E-01  1.88077E-02  7.86220E+04  3.16511E+02
  4.12000E+02  1.19500E+03  1.24700E+03  1.50947E-01  1.33681E-01  1.38241E-01  1.27065E-02  6.58100E+04  2.10453E+02
  4.20000E+02  1.21400E+03  1.21600E+03  1.30500E-01  9.96134E-02  1.22702E-01  7.79721E-03  5.32470E+04  1.27160E+02
  4.28000E+02  1.24200E+03  1.15000E+03  1.09595E-01  6.95893E-02  1.03046E-01  6.54883E-03  4.07380E+04  1.04000E+02
