# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  1.61400E+03  1.77429E+05  3.95569E+01  4.52922E+01  2.73909E+00  3.68178E+01  5.80986E+06  4.41970E+05
  1.20000E+01  2.78300E+03  3.12900E+03  2.22354E+01  5.05739E+01  2.36541E+00  1.98700E+01  5.36652E+06  2.43649E+05
  2.00000E+01  3.41500E+03  2.34300E+03  2.15639E+01  4.94126E+01  2.22998E+00  1.93339E+01  5.29681E+06  2.39422E+05
  2.80000E+01  3.97200E+03  2.36700E+03  1.97632E+01  4.77634E+01  2.43228E+00  1.73309E+01  5.26433E+06  2.15296E+05
  3.60000E+01  4.22600E+03  2.50900E+03  1.82690E+01  4.67718E+01  2.37357E+00  1.58954E+01  5.21113E+06  1.98529E+05
  4.40000E+01  4.30700E+03  2.32300E+03  1.70753E+01  4.63728E+01  2.38468E+00  1.46906E+01  5.19385E+06  1.84212E+05
  5.20000E+01  4.34700E+03  2.29800E+03  1.57400E+01  4.61965E+01  2.34004E+00  1.34000E+01  5.22445E+06  1.68845E+05
  6.00000E+01  4.52100E+03  2.04800E+03  1.41029E+01  4.40235E+01  2.24030E+00  1.18626E+01  5.07180E+06  1.50100E+05
  6.80000E+01  4.24900E+03  2.07400E+03  1.26924E+01  4.18180E+01  2.13376E+00  1.05587E+01  4.88639E+06  1.34006E+05
  7.60000E+01  4.14600E+03  2.14100E+03  1.14305E+01  4.06020E+01  2.04469E+00  9.38581E+00  4.78540E+06  1.19661E+05
  8.40000E+01  4.04900E+03  1.95300E+03  1.02825E+01  3.95651E+01  1.97252E+00  8.31002E+00  4.70694E+06  1.06370E+05
  9.20000E+01  3.95400E+03  1.99500E+03  9.47075E+00  3.87087E+01  1.89987E+00  7.57088E+00  4.64915E+06  9.70920E+04
  1.00000E+02  3.92900E+03  2.00700E+03  8.59176E+00  3.86634E+01  1.86935E+00  6.72241E+00  4.67285E+06  8.66828E+04
  1.08000E+02  3.68500E+03  1.91800E+03  7.87242E+00  3.82412E+01  1.81172E+00  6.06070E+00  4.67501E+06  7.83836E+04
