# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  1.27740E+04  1.42928E+05  2.07896E+02  5.90128E+01  8.39211E+00  1.99504E+02  8.29211E+06  2.37514E+06
  1.20000E+01  2.28090E+04  1.37140E+04  2.44124E+02  7.06957E+01  9.92302E+00  2.34201E+02  9.20201E+06  2.79440E+06
  2.00000E+01  2.68450E+04  1.15430E+04  1.68255E+02  6.27214E+01  1.03391E+01  1.57916E+02  8.73485E+06  1.92478E+06
  2.80000E+01  2.91170E+04  1.08630E+04  1.37930E+02  5.51371E+01  9.92055E+00  1.28009E+02  8.09623E+06  1.57517E+06
  3.60000E+01  2.94650E+04  1.04240E+04  1.15716E+02  4.76189E+01  9.31615E+00  1.06399E+02  7.33372E+06  1.31867E+06
  4.40000E+01  2.91950E+04  1.02100E+04  9.52395E+01  4.07526E+01  8.54864E+00  8.66909E+01  6.55479E+06  1.08224E+06
  5.20000E+01  2.77790E+04  9.54200E+03  7.78163E+01  3.43106E+01  7.70603E+00  7.01103E+01  5.76324E+06  8.81133E+05
  6.00000E+01  2.61680E+04  9.14000E+03  6.25297E+01  2.87371E+01  6.85084E+00  5.56788E+01  5.01314E+06  7.04906E+05
  6.80000E+01  2.36700E+04  8.85600E+03  5.01874E+01  2.39304E+01  5.99036E+00  4.41970E+01  4.31606E+06  5.62890E+05
  7.60000E+01  2.15240E+04  8.25600E+03  3.98722E+01  1.98168E+01  5.17787E+00  3.46943E+01  3.68868E+06  4.44791E+05
  8.40000E+01  1.91680E+04  7.66700E+03  3.15743E+01  1.64190E+01  4.44747E+00  2.71268E+01  3.13540E+06  3.49767E+05
  9.20000E+01  1.70160E+04  7.16300E+03  2.52836E+01  1.36718E+01  3.82108E+00  2.14625E+01  2.67445E+06  2.77798E+05
  1.00000E+02  1.49140E+04  6.70500E+03  1.99809E+01  1.13721E+01  3.25844E+00  1.67225E+01  2.27128E+06  2.17848E+05
  1.08000E+02  1.28490E+04  6.34600E+03  1.59577E+01  9.48424E+00  2.76961E+00  1.31880E+01  1.92648E+06  1.72436E+05
