# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  8.43700E+03  1.30758E+05  1.21811E+02  5.07623E+01  7.11296E+00  1.14698E+02  6.80828E+06  1.38422E+06
  1.20000E+01  1.52690E+04  8.61500E+03  1.02376E+02  6.00093E+01  8.10644E+00  9.42693E+01  7.24726E+06  1.15076E+06
  2.00000E+01  1.92720E+04  8.42200E+03  1.16552E+02  5.90539E+01  8.81061E+00  1.07742E+02  7.49818E+06  1.31830E+06
  2.80000E+01  2.18770E+04  8.56800E+03  1.13108E+02  5.61420E+01  9.04553E+00  1.04063E+02  7.48632E+06  1.27980E+06
  3.60000E+01  2.39070E+04  8.93400E+03  1.09440E+02  5.25513E+01  9.05568E+00  1.00384E+02  7.33978E+06  1.24056E+06
  4.40000E+01  2.54660E+04  9.13400E+03  1.02636E+02  4.83043E+01  8.90299E+00  9.37326E+01  7.06253E+06  1.16403E+06
  5.20000E+01  2.64990E+04  9.38900E+03  9.54792E+01  4.42880E+01  8.68553E+00  8.67937E+01  6.70329E+06  1.08216E+06
  6.00000E+01  2.68180E+04  9.15300E+03  8.81816E+01  3.97546E+01  8.23488E+00  7.99467E+01  6.24720E+06  9.99053E+05
  6.80000E+01  2.67300E+04  9.38700E+03  7.83097E+01  3.52988E+01  7.74284E+00  7.05668E+01  5.75413E+06  8.85556E+05
  7.60000E+01  2.55880E+04  9.11200E+03  6.81106E+01  3.06310E+01  7.07971E+00  6.10309E+01  5.18923E+06  7.68950E+05
  8.40000E+01  2.44620E+04  8.78600E+03  5.81312E+01  2.64281E+01  6.43450E+00  5.16967E+01  4.63926E+06  6.54823E+05
  9.20000E+01  2.31770E+04  8.52500E+03  4.86470E+01  2.26087E+01  5.80075E+00  4.28463E+01  4.10540E+06  5.45578E+05
  1.00000E+02  2.11180E+04  8.09400E+03  4.08935E+01  1.91492E+01  5.10896E+00  3.57845E+01  3.58023E+06  4.56897E+05
  1.08000E+02  1.91720E+04  8.08000E+03  3.37013E+01  1.60810E+01  4.46515E+00  2.92361E+01  3.09800E+06  3.75185E+05
