# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  4.56100E+03  2.46769E+05  6.81587E+01  4.45826E+01  4.78606E+00  6.33726E+01  6.28543E+06  7.64328E+05
  1.20000E+01  7.42600E+03  7.13000E+03  5.22860E+01  5.72070E+01  4.42181E+00  4.78642E+01  6.22712E+06  5.85624E+05
  2.00000E+01  8.69800E+03  4.64800E+03  5.29774E+01  5.53579E+01  5.26505E+00  4.77124E+01  6.15211E+06  5.88049E+05
  2.80000E+01  9.94400E+03  3.40100E+03  4.21564E+01  4.41165E+01  4.31232E+00  3.78441E+01  5.35114E+06  4.68852E+05
  3.60000E+01  1.09380E+04  4.23600E+03  4.71978E+01  5.03297E+01  4.99294E+00  4.22049E+01  5.99028E+06  5.23735E+05
  4.40000E+01  1.15190E+04  3.89900E+03  4.80779E+01  4.95547E+01  5.22916E+00  4.28487E+01  6.05759E+06  5.33995E+05
  5.20000E+01  1.22010E+04  3.68900E+03  4.42442E+01  4.67846E+01  4.90086E+00  3.93434E+01  5.79726E+06  4.91698E+05
  6.00000E+01  1.20730E+04  3.80100E+03  3.34151E+01  3.60986E+01  4.34025E+00  2.90748E+01  4.82236E+06  3.66469E+05
  6.80000E+01  1.24830E+04  3.69700E+03  3.85040E+01  4.23657E+01  4.70181E+00  3.38022E+01  5.41774E+06  4.24932E+05
  7.60000E+01  1.24490E+04  3.65600E+03  3.67197E+01  4.04793E+01  4.66664E+00  3.20530E+01  5.25375E+06  4.05431E+05
  8.40000E+01  1.22160E+04  3.75900E+03  3.28120E+01  3.76205E+01  4.35619E+00  2.84558E+01  5.00153E+06  3.60051E+05
  9.20000E+01  1.21220E+04  3.54500E+03  2.50399E+01  2.93492E+01  3.78416E+00  2.12558E+01  4.17646E+06  2.71827E+05
  1.00000E+02  1.16190E+04  3.52200E+03  2.89102E+01  3.42860E+01  4.08243E+00  2.48278E+01  4.64836E+06  3.15795E+05
  1.08000E+02  1.13650E+04  3.61300E+03  2.66181E+01  3.25193E+01  3.97272E+00  2.26453E+01  4.46512E+06  2.89533E+05
