# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  6.67900E+03  1.71464E+05  1.10552E+02  5.08688E+01  5.73049E+00  1.04821E+02  6.90028E+06  1.25293E+06
  1.20000E+01  1.15750E+04  1.01560E+04  8.34764E+01  5.62160E+01  5.58091E+00  7.78954E+01  6.75783E+06  9.45614E+05
  2.00000E+01  1.43780E+04  7.20200E+03  9.48876E+01  5.76539E+01  6.38870E+00  8.84989E+01  7.06478E+06  1.07645E+06
  2.80000E+01  1.53750E+04  6.79700E+03  7.75500E+01  5.13417E+01  6.08338E+00  7.14666E+01  6.62482E+06  8.78028E+05
  3.60000E+01  1.67800E+04  6.91300E+03  7.49792E+01  5.13108E+01  6.39984E+00  6.85794E+01  6.68409E+06  8.47275E+05
  4.40000E+01  1.72400E+04  6.44900E+03  6.11170E+01  4.41921E+01  5.92289E+00  5.51941E+01  6.06162E+06  6.87419E+05
  5.20000E+01  1.75360E+04  6.42100E+03  5.95233E+01  4.38690E+01  5.89247E+00  5.36308E+01  6.06670E+06  6.69295E+05
  6.00000E+01  1.70910E+04  6.09900E+03  4.69611E+01  3.73880E+01  5.36249E+00  4.15986E+01  5.35132E+06  5.23529E+05
  6.80000E+01  1.66120E+04  6.06600E+03  4.59493E+01  3.75380E+01  5.18349E+00  4.07658E+01  5.32040E+06  5.12890E+05
  7.60000E+01  1.56390E+04  5.87100E+03  3.59191E+01  3.15216E+01  4.69287E+00  3.12262E+01  4.65653E+06  3.96454E+05
  8.40000E+01  1.52070E+04  5.73400E+03  3.49825E+01  3.18011E+01  4.49808E+00  3.04844E+01  4.64145E+06  3.86715E+05
  9.20000E+01  1.38130E+04  5.57300E+03  2.78362E+01  2.68373E+01  4.05964E+00  2.37765E+01  4.06014E+06  3.04196E+05
  1.00000E+02  1.35440E+04  5.46100E+03  2.70593E+01  2.70973E+01  3.87370E+00  2.31856E+01  4.03624E+06  2.95686E+05
  1.08000E+02  1.21130E+04  5.08200E+03  2.20639E+01  2.32142E+01  3.51054E+00  1.85533E+01  3.57213E+06  2.38480E+05
