# SDTrimSP: VERSION 7.01    04.01.2026
SDTrimSP - Sat. Jan 03 21:23:02 2026                                            
           2       number species of projectiles
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 1): V    
           2             0.     0.0000          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.20000E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
#         sum  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  
# DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT( 2): N    
         100        500000.     2000.0          number of depth ,nproj,e_tot [MeV]
#         [A]     [number]     [number]        [MeV]        [MeV]        [MeV]        [MeV]     [number]     [number]
#DEPTH/LENGTH        STOPS   PATHLENGTH    NUCL.LOSS   ELECT.LOSS  NUC.LOSS<ED  NUC.LOSS>ED   NUM.COLL.       NRT-DPA
  4.00000E+00  5.80900E+03  1.07399E+05  8.02297E+01  4.82076E+01  5.35257E+00  7.48771E+01  6.34026E+06  9.09212E+05
  1.20000E+01  1.04360E+04  6.37300E+03  7.01400E+01  5.70379E+01  5.25035E+00  6.48896E+01  6.67857E+06  7.90167E+05
  2.00000E+01  1.29460E+04  6.78900E+03  9.05032E+01  5.59879E+01  6.38618E+00  8.41170E+01  6.89037E+06  1.02638E+06
  2.80000E+01  1.46930E+04  5.97100E+03  7.85770E+01  5.41344E+01  6.12869E+00  7.24483E+01  6.86716E+06  8.89953E+05
  3.60000E+01  1.64020E+04  6.51100E+03  7.81214E+01  5.12242E+01  6.49305E+00  7.16284E+01  6.73016E+06  8.84225E+05
  4.40000E+01  1.74040E+04  6.46700E+03  6.94569E+01  4.78227E+01  6.32258E+00  6.31343E+01  6.48876E+06  7.84083E+05
  5.20000E+01  1.78550E+04  6.74800E+03  6.21816E+01  4.41430E+01  6.17972E+00  5.60019E+01  6.15685E+06  6.99582E+05
  6.00000E+01  1.78290E+04  6.53900E+03  5.48633E+01  4.08479E+01  5.86685E+00  4.89965E+01  5.82769E+06  6.14900E+05
  6.80000E+01  1.77140E+04  6.78100E+03  4.92924E+01  3.76512E+01  5.59671E+00  4.36957E+01  5.47922E+06  5.50526E+05
  7.60000E+01  1.70980E+04  6.64900E+03  4.28934E+01  3.46645E+01  5.23164E+00  3.76617E+01  5.12642E+06  4.76893E+05
  8.40000E+01  1.64240E+04  6.52100E+03  3.80343E+01  3.18821E+01  4.90636E+00  3.31280E+01  4.78181E+06  4.21081E+05
  9.20000E+01  1.52920E+04  6.49300E+03  3.31694E+01  2.91242E+01  4.56473E+00  2.86047E+01  4.43496E+06  3.64677E+05
  1.00000E+02  1.43870E+04  6.36200E+03  2.94092E+01  2.68270E+01  4.23388E+00  2.51753E+01  4.12607E+06  3.22317E+05
  1.08000E+02  1.36220E+04  6.13200E+03  2.58703E+01  2.46802E+01  3.94296E+00  2.19273E+01  3.84578E+06  2.81742E+05
